n	expression
1	(1+(1-(2+(3+(5+(8+(1+(3-21))))))))
2	(1*(1+(2+(3+(5+(8+(1+(3-21))))))))
3	(1+(1+(2+(3+(5+(8+(1+(3-21))))))))
4	(1*(1+(2-(3+(5+(8+(1+(3-21))))))))
5	(1-(1+(2+(3+(5+(8+(1-(3+21))))))))
6	(1*(1-(2+(3+(5+(8+(1-(3+21))))))))
7	(1-(1+(2+(3+(5+(8-(1+(3+21))))))))
8	(1*(1-(2+(3+(5+(8-(1+(3+21))))))))
9	(1+(1-(2+(3+(5+(8-(1+(3+21))))))))
10	(1*(1+(2-(3+(5+(8+(1-(3+21))))))))
11	(1-(1-(2-(3+(5+(8-(1+(3+21))))))))
12	(1*(1+(2-(3+(5+(8-(1+(3+21))))))))
13	(1+(1+(2-(3+(5+(8-(1+(3+21))))))))
14	(1*(1-(2-(3-(5+(8-(1+(3+21))))))))
15	(1+(1-(2-(3-(5+(8-(1+(3+21))))))))
16	(1+(1-(2*(3+(5+(8+(1-(3+21))))))))
17	(1-(1-(2+(3-(5+(8-(1+(3+21))))))))
18	(1-(1+(2*(3+(5+(8-(1+(3+21))))))))
19	(1*(1-(2*(3+(5+(8-(1+(3+21))))))))
20	(1+(1-(2*(3+(5+(8-(1+(3+21))))))))
21	(1-(1-(2-(3-(5-(8-(1+(3+21))))))))
22	(1*(1+(2-(3-(5-(8-(1+(3+21))))))))
23	(1-(1+(2+(3+(5-(8+(1+(3+21))))))))
24	(1*(1-(2+(3+(5-(8+(1+(3+21))))))))
25	(1+(1-(2+(3+(5-(8+(1+(3+21))))))))
26	(1-(1-(2*(3-(5+(8+(1-(3+21))))))))
27	(1-(1-(2-(3+(5-(8+(1+(3+21))))))))
28	(1*(1+(2-(3+(5-(8+(1+(3+21))))))))
29	(1+(1+(2-(3+(5-(8+(1+(3+21))))))))
30	(1*(1-(2-(3-(5-(8+(1+(3+21))))))))
31	(1+(1-(2-(3-(5-(8+(1+(3+21))))))))
32	(1+(1+(2*(3-(5+(8-(1+(3+21))))))))
33	(1-(1+(2+(3-(5+(8+(1+(3+21))))))))
